State,Motivated,N_A,School,Working,Recreation,Chores,Systems,Planning,Absorb
2020-09-24,0,0,0,8.604444445,0,0.3627777783333333,0,0,2.373055555
2020-09-25,0,0.40166666666666667,0,0.7730555549999999,0,5.55555e-4,16.868055555,0.22638888833333332,1.67861111
2020-09-26,0,0.32,0,2.075833333333333,0,0,0,0.18777777833333334,0
2020-09-27,0,0,0,0.0925,0,0.553055555,0,0.5597222216666666,0
2020-09-28,0,0,0,6.164166665,0,1.4552777766666667,0,0,2.0852777783333334
2020-09-29,0,1.3758333333333332,0,2.466944445,0,0,0,0,0
2020-09-30,0,0.4347222216666667,0,7.9438888883333325,0,0.7077777783333333,0,0,0
2020-10-01,0,1.2638888883333335,0,1.8138888883333335,0,0,0,0,0
2020-10-02,0,0,0,0.26388888833333335,0,0,0,0,0
2020-10-03,0,4.052222223333333,0,1.3633333333333333,0,1.0508333333333333,0,0,0
2020-10-04,0,0.5461111116666667,0,0,0,0,0,0,0
2020-10-05,0,0,0,2.9083333316666664,0,1.5838888899999999,0,5.55555e-4,0
2020-10-06,0,0,0,3.9697222216666668,0,0.3702777783333333,0,0.005,0
2020-10-07,0,0,0,1.075,0,0.264444445,0,0,4.0908333316666665
2020-10-08,0,1.2247222233333332,0,6.829444445,0,0.45583333333333337,0,0,2.0105555566666666
2020-10-09,0,0.301666665,0,2.9558333316666667,0,0.07361111166666667,0.21916666666666665,0,0
2020-10-10,0,1.8575,0,0.7638888883333333,0,0,0,0,0
2020-10-11,0,0.0016666666666666668,0,3.1586111116666666,0,1.1891666666666665,0,0,0
2020-10-12,0,0.7597222216666667,0,0,0,0.6519444433333332,0,0.45944444333333334,0
2020-10-13,0,1.3552777766666668,0,0.6608333316666667,0,0.8441666666666666,0.1175,0,0
2020-10-14,0,0.4202777783333333,0,6.260555554999999,0,0.5122222216666666,0,0,0
2020-10-15,0,2.5716666666666668,0,1.670555555,0,0.3066666666666667,0,0,0
2020-10-16,0,0,0,2.3891666666666667,0,1.3952777783333332,0,0,0
2020-10-17,0,0,0,3.605277776666667,0,1.0272222216666667,0,0,0
2020-10-18,0,0.8755555549999999,0,1.6947222233333332,0,0.5158333333333334,0,0,0
2020-10-19,0,0.03888888833333334,0,2.643055555,0,3.3102777766666667,0,0,0
2020-10-20,0,0,0,2.5883333333333334,0,0.8025,0,0,0
2020-10-21,0,0,0,4.036388888333334,0,1.9122222199999999,0,0,0
2020-10-22,0,0.4888888883333333,0,1.9547222233333335,0,0.278055555,0,0,0
2020-10-23,0,0.19749999999999998,0,2.2647222216666667,0,0,0,0,0
2020-10-24,0,0,0,6.176388888333333,0,0,0,0.203055555,0
2020-10-25,0,0.34472222166666666,0,0,0,0.7666666666666666,0,0,0
2020-10-26,0,0.5577777783333333,0,2.1919444433333335,0,0.7919444449999999,0,0,0
2020-10-27,0,0.43333333333333335,0,3.241944445,0,0,0,0,0
2020-10-28,0,0.9555555550000001,0,3.898055555,0,1.3663888883333333,0,0,0
2020-10-29,0,4.256666666666667,0,0,0,0.24138888833333333,0,0,0
2020-10-30,0,0,0,5.949444443333333,0,2.3761111116666664,0,0,0
2020-10-31,0,0,0,0.09749999999999999,0,1.3325,0,0.004166666666666667,0
2020-11-01,0,0,0,0.3775,0,0,0,0,0
2020-11-02,0,0,0,0.7947222233333333,0,0.533055555,0,0.14833333333333334,0
2020-11-03,0,1.15,0,1.2094444450000001,0,0,0,0,0.01
2020-11-04,0,0.848055555,0,7.735555555,0,0.6158333333333333,0,0,1.1422222216666666
2020-11-05,0,0.013055555,0,8.166944443333334,0,0.460555555,0,0,2.3194444450000002
2020-11-06,0,0,0,3.0469444433333335,0,0.506944445,0,0,0
2020-11-07,0,0,0,6.433611111666667,0,0,0,0,0
2020-11-08,0,0.24055555499999998,0,0.20138888833333332,0,0.87638889,0,0,0
2020-11-09,0,0,0,0.11472222166666667,0,0.5125,0,1.4988888883333333,0
2020-11-10,0,0.08888888833333333,0,7.564166666666667,0,0,0,0,0
2020-11-11,0,4.487500000000001,0,0,0,0.32083333333333336,0,0,0
2020-11-12,0,1.00111111,0,3.9333333333333336,0,0,0,0,0
2020-11-13,0,2.500555555,0,4.699722221666667,0,0.7925,0,0,0
2020-11-14,0,0.9969444433333334,0,9.172222223333334,0,0.34138888833333336,0,0,0
2020-11-15,0,5.0238888883333335,0,0.1433333333333333,0,0.30166666666666664,0,0,0
2020-11-16,0,2.7777833333333333e-4,0,0,0,2.105277778333333,0,1.2344444433333333,0
2020-11-17,0,0,0,8.208611111666666,0,0.7052777783333333,0,5.55555e-4,0
2020-11-18,0,1.1727777783333333,0,0,0,1.23611111,0,0,0
2020-11-19,0,0.09416666666666668,0,4.800555556666667,0,1.0572222216666667,0,0,0
2020-11-20,0,0.679444445,0,0,0,0.5,0,0,0
2020-11-21,0,2.5491666666666664,0,8.722777776666668,0,0,0,0,0
2020-11-22,0,0.7505555566666666,0,0,0,0.41500000000000004,0,0,0
2020-11-23,0,0.19388888833333334,0,0,0,0.39527777833333333,0,0,0
2020-11-24,0,1.65861111,0,8.895555556666666,0,1.7063888883333334,0.47138889,0.3072222216666667,0
2020-11-25,0,0,0,3.443055555,0,0.344444445,0,0,0
2020-11-26,0,1.0711111116666667,0,2.6969444449999997,0,0.825555555,0,0,0
2020-11-27,0,0,0,0.5138888883333333,0,0.445555555,0,0,0
2020-11-28,0,0,0,0,0,0.089444445,0,0,0
2020-11-29,0,0,0,0,0,1.1813888883333334,0,0.35833333333333334,0
2020-11-30,0,0.5288888883333334,0,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0.75,0,0.871944445,0
2020-12-02,0,0.2625,0,0.628055555,0,1.0961111116666666,0,0.45638888833333335,0
2020-12-03,0,0,0,2.3897222216666667,0,5.100555555,0,0,0
2020-12-04,0,0.16749999999999998,0,5.040555555,0,0.34777777833333334,0,0.15194444499999998,0
2020-12-05,0,0.28111111166666664,0,4.064722221666666,0,0.7377777783333334,0,0,0
2020-12-06,0,0.08472222166666667,0,0,0,1.8452777783333332,1.4672222216666666,0.8783333333333333,0
2020-12-07,0,0.415,0,2.7838888883333337,0,0.18611111166666666,0.605,0.968055555,0
2020-12-08,0,0.175,0,2.3108333333333335,0,0,0,0.37944444499999996,0
2020-12-09,0,0,0,1.6191666666666666,0,0.246944445,0,0.056666666666666664,0
2020-12-10,0,0,0,5.2425000016666665,0,0.7913888883333333,0,0.007500000000000001,0
2020-12-11,0,0.18944444333333332,0,15.448333333333334,0,0,0,0,0
2020-12-12,0,0,0,0,0,0.8172222216666667,0,0,0
